compounds,targets
D0G0VV,T38284
D05HDJ,T38284
D0F5HC,T38284
D0WL1U,T38284
DH5RN1,T38284
D0HF0R,T38284
D08PXF,T38284
D0I5VG,T38284
D0XU3A,T38284
D0Z1RJ,T38284
D01UBA,T38284
D0IA4G,T38284
DSHT18,T38284
D01KIJ,T38284
D08IUE,T38284
D0EF5T,T38284
D0KT5W,T38284
D0AZ3C,T38284
D0AZ3C,T57700
D0D3FB,T38284
D0D3FB,T57700
D0D3FB,T59102
D0XQ5F,T38284
D0XQ5F,T57700
D0XQ5F,T59102
D05BHG,T58970
D05BHG,T87675
D0IQ0Z,T46781
D14NDZ,T46781
D05PZB,T87675
D05PZB,T46781
D0E5XA,T87675
D0E5XA,T46781
D02RJY,T87675
D02RJY,T46781
D0EJ3B,T87675
D0EJ3B,T46781
D0OA5G,T87675
D0OA5G,T46781
D0J6AB,T87675
D0J6AB,T46781
D0H7AC,T87675
D0H7AC,T46781
D08HOM,T87675
D08HOM,T46781
D00TKJ,T87675
D04YQF,T87675
D04MYT,T87675
D06AGN,T87675
D0A5MC,T87675
D0V6LP,T87675
D0Y0ES,T87675
D3QEZ2,T87675
D0S7HM,T87675
D06OAH,T87675
D06OAH,T76910
D0QC0W,T87675
D0S4JK,T87675
D0D5EW,T38284
D0D5EW,T59328
D0D5EW,T12499
D0D5EW,T59102
D0D5EW,T85943
D08DCP,T23003
D08DCP,T46781
D0Y4BL,T12499
D0Y4BL,T57700
D0H1OK,T12499
D0H1OK,T80975
D0H1OK,T59102
D0H1OK,T85943
D09QBA,T12499
D09QBA,T80975
D09QBA,T17980
D07AIB,T12499
D07AIB,T80975
D09HXU,T12499
D09HXU,T80975
D0CY1B,T87675
D0CY1B,T46781
D0CY1B,T80975
D0A1AQ,T87675
D0A1AQ,T46781
D0A1AQ,T80975
D0T5OS,T57700
D0T5OS,T85943
D03NPX,T38284
D03NPX,T12499
D03NPX,T59102
D03NPX,T85943
D0E6XR,T85943
D0E6XR,T38284
D0E6XR,T12499
D0E6XR,T17980
D02VDD,T38284
D02VDD,T85943
D02XNW,T87675
D02XNW,T12499
D02XNW,T46781
D0OZ2S,T12499
D0IZ8M,T12499
D0D5KZ,T12499
D03AER,T12499
D0A7FQ,T12499
D04TLI,T12499
D08DVL,T12499
D00NWF,T12499
D02BUW,T12499
D0L4HJ,T12499
D0M3CT,T12499
D08WOG,T12499
D06WJA,T12499
D0Y1SR,T12499
D0Y1SR,T85943
D06WGX,T12499
D06WGX,T85943
D0BS6R,T12499
D0BS6R,T85943
D0A2LX,T12499
D0A2LX,T85943
D07ERV,T12499
D07ERV,T85943
D0CE3R,T12499
D0CE3R,T85943
D0GT8N,T12499
D0GT8N,T85943
D00ICA,T48069
D00ICA,T12499
D0YZ7H,T12499
D0YZ7H,T59102
D0YZ7H,T85943
D0YZ7H,T17980
D0Z7GH,T12499
D0Z7GH,T59102
D0Z7GH,T85943
D0S1KJ,T12499
D0S1KJ,T59102
D0S1KJ,T85943
D0OH3J,T12499
D0OH3J,T59102
D0OH3J,T85943
D0P3JW,T59328
D0P3JW,T12499
D0P3JW,T57700
D0P3JW,T59102
D0P3JW,T85943
D0GW4Q,T59328
D0GW4Q,T12499
D0GW4Q,T57700
D0GW4Q,T59102
D0GW4Q,T85943
D0D9TU,T59328
D0D9TU,T12499
D09XIL,T59328
D09XIL,T58970
D09XIL,T80975
D09XIL,T59102
D09XIL,T17980
D00DRL,T80975
D00DRL,T59102
D00DRL,T40474
D0FA6S,T80975
D0FA6S,T40474
D05BLN,T80975
D05BLN,T40474
D0D1GF,T80975
D0D1GF,T40474
D09ETH,T80975
D09ETH,T40474
D0IQ6P,T80975
D0IQ6P,T40474
D0M4SY,T58970
D0M4SY,T48069
D0M4SY,T67619
D0M4SY,T12499
D0M4SY,T80975
D0M4SY,T59102
D0M4SY,T40474
D0C3AD,T12499
D0C3AD,T53389
D0Y3OO,T81735
D05USL,T81735
DPNT63,T81735
D02TCZ,T81735
D0H3UR,T81735
D03IQX,T81735
D0KG0Z,T81735
D0Q4GJ,T81735
D02IDN,T81735
D0I7GE,T81735
D02IKF,T81735
D0KH8S,T81735
D03MDA,T81735
D09YAL,T81735
D04DQF,T81735
D01SXB,T81735
D0P4MU,T81735
D04XFN,T81735
D03TQO,T81735
D0U4JL,T81735
D06TGR,T81735
D0D9RN,T81735
D0S7NM,T81735
D02SMG,T81735
D06WCT,T81735
D0H2BL,T81735
D02MPG,T81735
D08BRZ,T81735
D03DJC,T81735
D0F7ZK,T81735
D0K3VK,T81735
D09TJK,T81735
D0R7HM,T81735
D08WQW,T81735
D0S5SG,T81735
D01ZMP,T81735
D0V8VY,T81735
D06BDY,T81735
D0O4KC,T81735
D07AXO,T81735
D02DDM,T81735
D0ZQ8Z,T81735
D0R1BG,T81735
D00MXW,T81735
