,drug_name,targets,shared_by,shared_by_cid,shared_by_smiles
1004,D05USL,T81735,D0W1ST,9860529,C1COCCN1C2=CC(=O)C3=C(O2)C4=CC=CC=C4C=C3
1048,D0Y3OO,T81735,D0R0TW,11964036,CCN1CCN(CC1)CC(=O)NC2=C3C4=CC=CC=C4SC3=C(C=C2)C5=CC=CC6=C5OC(=CC6=O)N7CCOCC7
1051,D0Y3OO,T81735,D00HSJ,10275789,CC1=C(C=C(C=C1)[N+](=O)[O-])S(=O)(=O)N(C)N=CC2=CN=C3N2C=C(C=C3)Br
1052,D0Y3OO,T81735,D03EHM,24905142,C1CCC(C1)N2C3=NC=NC(=C3C(=N2)C4=CN=C5C(=C4)C=CN5)N
1106,D0Y3OO,T81735,D07APP,131255,C1COCCN1C2=CC(=O)C3=CC=CC=C3O2
1107,D0Y3OO,T81735,D0W1ST,9860529,C1COCCN1C2=CC(=O)C3=C(O2)C4=CC=CC=C4C=C3
1157,D01GFX,T48069,D0M4SY,0,CC1=CC(=CC2=C1N=C(N2)C3=C(C=CNC3=O)NCC(C4=CC(=CC=C4)Cl)O)N5CCOCC5
1165,D02QWY,T67619,D0B9BU,6918454,C1CC1CONC(=O)C2=C(C(=C(C=C2)F)F)NC3=C(C=C(C=C3)I)Cl
1173,D02QWY,T67619,D0M4SY,0,CC1=CC(=CC2=C1N=C(N2)C3=C(C=CNC3=O)NCC(C4=CC(=CC=C4)Cl)O)N5CCOCC5
1174,D02QWY,T67619,D0L8HO,0,C1=CC=C2C(=C1)C(=CN2)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54
1175,D02QWY,T67619,D0TO6S,2396,CN(C)CCCN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54
1177,D02QWY,T67619,D0N6ES,0,CN(C(CC1=CC=C(C=C1)OS(=O)(=O)C2=CC=CC3=C2C=CN=C3)C(=O)N4CCN(CC4)C5=CC=CC=C5)S(=O)(=O)C6=CC=CC7=C6C=CN=C7
1179,D02QWY,T67619,D0O1YH,0,C1(=C(C2=NNN=C2C(=C1Br)Br)Br)Br
1180,D02QWY,T67619,D0A5RM,9859248,C1=CC(=O)C=CC1=NNC2=C(NN=C2N)N
1182,D02QWY,T67619,D0M5FF,0,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)CCCSC(=N)N
1190,D02QWY,T67619,D0YB3W,156414,C=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4
