ttid , smile
D00CIW , C1=CC=C(C=C1)P(=O)(O)O
D00CJJ , C1=CC=C(C=C1)CCN2C3=NC=NC(=C3N=C2Br)N
D00CKV , CC(=O)C1=C(C(=C2N1C=CC=C2)C(=O)C3=CC=C(C=C3)C(F)(F)F)C4=CC=CC=C4
D00CKY , C1=CC=C(C=C1)CCCCCCC(=O)C2=NN=CS2
D00CLB , CC(C)CC(C(=O)NC1CCN(C1)CC2=CC=C(C=C2)OCCCN(C)C)NC(=O)C3=CC4=CC=CC=C4S3
D00CLM , CC(=NNC(=O)C1=CC=C(S1)C(=O)O)C2=CSC(=C2O)C3=CC(=C(C=C3)Cl)Cl
D00CMV , CC(C)(C)C1=CC2=C(C=C1)C(CC2)NC(=O)NC3=CC=CC4=C3C=NN4
D00COB , CC(CC1=CNC2=CC=CC=C21)(C(=O)NCC(C3=CC=CC=C3)NC(=O)C=CC(=O)O)NC(=O)OC4C5CC6CC(C5)CC4C6
D00CPI , CCCN1CCN(CC1)C2=CC(=CC=C2)O
D00CPM , COC1=CC=C(C=C1)C2=C(C3=CC=CC=C3N2)C=O
D00CQB , CC(C1=CC=CC=C1)NC(=O)C(C)(CC2=CNC3=CC=CC=C32)NC(=O)OCC4=CC5=CC=CC=C5O4
D00CQR , CC1CCCC12CCOC2=O
D00CQT , C1=CC=C2C(=C1)C(=C(C(=O)C2=O)CC=C(Cl)Cl)O
D00CQW , C1=CC(=CC=C1CCCC2=CNC3=NC(=NC(=C23)N)N)C(=O)NC(CCC(=O)O)C(=O)O
D00CRA , CC1=C(C2=C(N1)C=CC(=C2)O)CCN
D00CRQ , CC(=CCOC1=CC(=C(C=C1CNC(CO)C(=O)O)Cl)OCC2=C(C(=CC=C2)C3=CC=CC=C3)Br)C
D00CSQ , C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl
D00CTS , CCCCC(C1(CCC2C(O1)CC(=O)C2CCCCCCC(=O)O)O)(F)F
D00CUZ , CN1CCN(CC1)CC(=O)N2C3=CC=CC=C3C(=O)NC4=C2N=CC=C4
D00CVB , C1C(C(OC1N2C=CC(=O)NC2=O)CO)O
D00CVD , CC1=CC(=C(C=C1)C2=C(C(=O)C3=C(O2)C=CC(=C3)Cl)Cl)OC(C)C
D00CVJ , COC1=CC2=C(C=C1)NC=C2CCNC(=O)C3=CC(=O)C=CO3
D00CWH , CC(C)(C)C(C(=O)NC)N
D00CWN , C1=CC(=CC=C1C2=NC3=C(C=C2)C=C(C=C3)O)O
D00CYF , CCC(C)C(C(=O)NC1CSSCC(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC1=O)C(C)C)CC2=CNC3=CC=CC=C32)CCC(=O)N)CC(=O)O)CC4=CNC5=CC=CC=C54)CC6=CNC7=CC=CC=C76)CC8=CN=CN8)CCCNC(=N)N)C(=O)NC(C(C)O)C(=O)N)NC(=O)C
D00CYX , CC(C)CC(C(=O)C(CNC(C)C(=O)NC(C(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(CC1=CC=CC=C1)C(=O)O)O)NC(=O)C(CC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CCC(=O)O)N
D00DAE , C1=CC(=CC=C1C(=O)C2=C(C=C(C=C2Cl)C[N+]3=C(C(=NN3)C(=O)N)N)Cl)Cl.C1=C(NC(=O)NC1=O)C(=O)[O-]
D00DBE , CC1=CC2=C3C(=C1)C(=NC(C(=O)N3CC2)NC(=O)C4=CC=NC=C4)C5=CC=CC=C5
D00DBH , CC(C)CC(=O)N
D00DBO , C1CCN(CC1)C2(CCN(CC2)CCCC(=O)C3=CC=C(C=C3)F)C(=O)N
D00DBR , CNC1=C(C(=O)NC(=N1)N)[N+](=O)[O-]
D00DBV , CNC(=O)N
D00DDH , CCC(C)CNC(=O)C1CCCN1C(=O)C(CC)N
D00DDJ , C1CN(CCN1)C(=O)C23CC4CC(C2)CC(C4)C3
D00DDO , C1=CC=C(C=C1)C2=CC(=C(C(=C2)Br)O)C(=O)O
D00DDR , failed
D00DDT , CC(CC1=CC=C(C=C1)SC)N(C)C
D00DDX , COC1=C(C=CC(=C1)F)C2=CC(=NC=N2)NC3=CC(=CC(=N3)C(F)(F)F)CS(=O)(=O)C
D00DEF , CC(CC1=CC=CC=C1)NC(=O)C(CCCCN)N
D00DEH , C1CNCCC1C2=CC=CC=C2OC3=CC(=CC=C3)Cl
D00DFP , C1CCC(C1)C2C3CCC4=C(C3=NN2C5=CC(=C(C=C5)C#N)Cl)C=CC(=N4)C(=O)N6CCC(CC6)O
D00DFR , C1C=CC(=O)C(C1OCC2=CC=CC=C2)OCC3=CC=CC=C3
D00DHM , CC1=C2CC3C(CC(CN3C)NC(=O)C(C)(C)C)C4=C2C(=CC=C4)N1
D00DHV , C1CN(CCN1)C2=NC=NC3=C2SC=C3
D00DIF , CC1=CC(=NC(=N1)N2C(=CC(=N2)C)C)NC3CCCCC3
D00DIZ , C1CC(N(C1)C2=NC3=C(C=NN3C=C2)C(=O)NC4CC4)C5=CC(=CC(=C5)F)OCC(CO)O
